INFO | 6510 | color_detetor | 8 Points Detected on the Image
INFO | 6510 | eklem_tracker | Results Matched for New Frame
INFO | 6510 | eklem_tracker | Getting Joints Dict
INFO | 6510 | angle_calculator | Getting Angle Dict
INFO | 6548 | keypoint | Frame Saved.





INFO | 6556 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 6558 | color_detetor | Filtering Done & Mask Created
INFO | 6559 | color_detetor | 8 Points Detected on the Image
INFO | 6559 | eklem_tracker | Results Matched for New Frame
INFO | 6559 | eklem_tracker | Getting Joints Dict
INFO | 6559 | angle_calculator | Getting Angle Dict
INFO | 6569 | keypoint | Frame Saved.





INFO | 6573 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 6575 | color_detetor | Filtering Done & Mask Created
INFO | 6576 | color_detetor | 8 Points Detected on the Image
INFO | 6576 | eklem_tracker | Results Matched for New Frame
INFO | 6576 | eklem_tracker | Getting Joints Dict
INFO | 6576 | angle_calculator | Getting Angle Dict
INFO | 6584 | keypoint | Frame Saved.





INFO | 6588 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 6589 | color_detetor | Filtering Done & Mask Created
INFO | 6590 | color_detetor | 8 Points Detected on the Image
INFO | 6590 | eklem_tracker | Results Matched for New Frame
INFO | 6590 | eklem_tracker | Getting Joints Dict
INFO | 6590 | angle_calculator | Getting Angle Dict
INFO | 6614 | keypoint | Frame Saved.





INFO | 6618 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 6620 | color_detetor | Filtering Done & Mask Created
INFO | 6620 | color_detetor | 8 Points Detected on the Image
INFO | 6620 | eklem_tracker | Results Matched for New Frame
INFO | 6620 | eklem_tracker | Getting Joints Dict
INFO | 6620 | angle_calculator | Getting Angle Dict
INFO | 6662 | keypoint | Frame Saved.





INFO | 6669 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 6671 | color_detetor | Filtering Done & Mask Created
INFO | 6672 | color_detetor | 8 Points Detected on the Image
INFO | 6672 | eklem_tracker | Results Matched for New Frame
INFO | 6672 | eklem_tracker | Getting Joints Dict
INFO | 6672 | angle_calculator | Getting Angle Dict
INFO | 6682 | keypoint | Frame Saved.





INFO | 6688 | keypoint | Frame read and resized to (720, 1280, 3).
