INFO | 317 | keypoint | Camera Started: mavi-el-resized.mp4
INFO | 337 | keypoint | Resolution H: 720, W: 1280. Writer Object Created with the Name: mavi-el-resized-output.mp4.
INFO | 337 | keypoint | Filtering Values Set. Hue Min: 93, Saturation Min: 44, Value Min: 38, Hue Max: 170, Saturation Max: 232, Value Max: 255
INFO | 1006 | eklem_tracker | isaret_uc Has Been Created. Coordinates: x: 472, y: 287
INFO | 1319 | eklem_tracker | isaret_DIP Has Been Created. Coordinates: x: 540, y: 256
INFO | 1600 | eklem_tracker | isaret_PIP Has Been Created. Coordinates: x: 615, y: 241
INFO | 1919 | eklem_tracker | isaret_MP Has Been Created. Coordinates: x: 717, y: 307
INFO | 2398 | eklem_tracker | CMC Has Been Created. Coordinates: x: 803, y: 431
INFO | 2742 | eklem_tracker | bas_PIP Has Been Created. Coordinates: x: 703, y: 449
INFO | 3062 | eklem_tracker | bas_DIP Has Been Created. Coordinates: x: 562, y: 457
INFO | 3382 | eklem_tracker | bas_uc Has Been Created. Coordinates: x: 484, y: 449
INFO | 3383 | keypoint | Starting Loop For video. 



INFO | 3385 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 3387 | color_detetor | Filtering Done & Mask Created
INFO | 3388 | color_detetor | 9 Points Detected on the Image
INFO | 3732 | eklem_tracker | Results Matched for New Frame
INFO | 3732 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 3732 | eklem_tracker | Getting Joints Dict
INFO | 3732 | angle_calculator | Getting Angle Dict
INFO | 3732 | keypoint | Angles & Lines Are on the Image
INFO | 3743 | keypoint | Frame Saved.





INFO | 3745 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 3747 | color_detetor | Filtering Done & Mask Created
INFO | 3748 | color_detetor | 9 Points Detected on the Image
INFO | 3888 | eklem_tracker | Results Matched for New Frame
INFO | 3888 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 3888 | eklem_tracker | Getting Joints Dict
INFO | 3888 | angle_calculator | Getting Angle Dict
INFO | 3888 | keypoint | Angles & Lines Are on the Image
INFO | 3899 | keypoint | Frame Saved.





INFO | 3901 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 3903 | color_detetor | Filtering Done & Mask Created
INFO | 3904 | color_detetor | 9 Points Detected on the Image
INFO | 3904 | eklem_tracker | Results Matched for New Frame
INFO | 3904 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 3904 | eklem_tracker | Getting Joints Dict
INFO | 3904 | angle_calculator | Getting Angle Dict
INFO | 3904 | keypoint | Angles & Lines Are on the Image
INFO | 3917 | keypoint | Frame Saved.





INFO | 3919 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 3921 | color_detetor | Filtering Done & Mask Created
INFO | 3922 | color_detetor | 9 Points Detected on the Image
INFO | 3922 | eklem_tracker | Results Matched for New Frame
INFO | 3922 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 3922 | eklem_tracker | Getting Joints Dict
INFO | 3922 | angle_calculator | Getting Angle Dict
INFO | 3922 | keypoint | Angles & Lines Are on the Image
INFO | 3932 | keypoint | Frame Saved.





INFO | 3935 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 3937 | color_detetor | Filtering Done & Mask Created
INFO | 3938 | color_detetor | 9 Points Detected on the Image
INFO | 3938 | eklem_tracker | Results Matched for New Frame
INFO | 3938 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 3938 | eklem_tracker | Getting Joints Dict
INFO | 3938 | angle_calculator | Getting Angle Dict
INFO | 3938 | keypoint | Angles & Lines Are on the Image
INFO | 3948 | keypoint | Frame Saved.





INFO | 3951 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 3953 | color_detetor | Filtering Done & Mask Created
INFO | 3954 | color_detetor | 9 Points Detected on the Image
INFO | 3954 | eklem_tracker | Results Matched for New Frame
INFO | 3954 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 3954 | eklem_tracker | Getting Joints Dict
INFO | 3954 | angle_calculator | Getting Angle Dict
INFO | 3954 | keypoint | Angles & Lines Are on the Image
INFO | 3964 | keypoint | Frame Saved.





INFO | 3967 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 3969 | color_detetor | Filtering Done & Mask Created
INFO | 3970 | color_detetor | 9 Points Detected on the Image
INFO | 3970 | eklem_tracker | Results Matched for New Frame
INFO | 3970 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 3970 | eklem_tracker | Getting Joints Dict
INFO | 3970 | angle_calculator | Getting Angle Dict
INFO | 3970 | keypoint | Angles & Lines Are on the Image
INFO | 3994 | keypoint | Frame Saved.





INFO | 3997 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 3998 | color_detetor | Filtering Done & Mask Created
INFO | 3999 | color_detetor | 9 Points Detected on the Image
INFO | 4000 | eklem_tracker | Results Matched for New Frame
INFO | 4000 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 4000 | eklem_tracker | Getting Joints Dict
INFO | 4000 | angle_calculator | Getting Angle Dict
INFO | 4000 | keypoint | Angles & Lines Are on the Image
INFO | 4025 | keypoint | Frame Saved.





INFO | 4028 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 4030 | color_detetor | Filtering Done & Mask Created
INFO | 4031 | color_detetor | 10 Points Detected on the Image
INFO | 4031 | eklem_tracker | Results Matched for New Frame
INFO | 4031 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 4031 | eklem_tracker | Getting Joints Dict
INFO | 4031 | angle_calculator | Getting Angle Dict
INFO | 4031 | keypoint | Angles & Lines Are on the Image
INFO | 4041 | keypoint | Frame Saved.





INFO | 4043 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 4045 | color_detetor | Filtering Done & Mask Created
INFO | 4045 | color_detetor | 10 Points Detected on the Image
INFO | 4045 | eklem_tracker | Results Matched for New Frame
INFO | 4046 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 4046 | eklem_tracker | Getting Joints Dict
INFO | 4046 | angle_calculator | Getting Angle Dict
INFO | 4046 | keypoint | Angles & Lines Are on the Image
INFO | 4055 | keypoint | Frame Saved.





INFO | 4058 | keypoint | Frame read and resized to (720, 1280, 3).
