INFO | 452 | keypoint | Camera Started: yesil-el.mp4
INFO | 470 | keypoint | Resolution H: 1080, W: 1920. Writer Object Created with the Name: manipulandum_red_output.mp4.
INFO | 470 | keypoint | Filtering Values Set. Hue Min: 24, Saturation Min: 80, Value Min: 20, Hue Max: 118, Saturation Max: 255, Value Max: 205
INFO | 1992 | eklem_tracker | isaret_uc Has Been Created. Coordinates: x: 417, y: 242
INFO | 2430 | eklem_tracker | isaret_DIP Has Been Created. Coordinates: x: 463, y: 184
INFO | 2858 | eklem_tracker | isaret_PIP Has Been Created. Coordinates: x: 497, y: 156
INFO | 3335 | eklem_tracker | isaret_MP Has Been Created. Coordinates: x: 600, y: 207
INFO | 3983 | eklem_tracker | CMC Has Been Created. Coordinates: x: 737, y: 314
INFO | 4487 | eklem_tracker | bas_PIP Has Been Created. Coordinates: x: 628, y: 366
INFO | 4967 | eklem_tracker | bas_DIP Has Been Created. Coordinates: x: 531, y: 387
INFO | 5511 | eklem_tracker | bas_uc Has Been Created. Coordinates: x: 445, y: 387
INFO | 5512 | keypoint | Starting Loop For video. 



INFO | 5515 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 5517 | color_detetor | Filtering Done & Mask Created
INFO | 5518 | color_detetor | 8 Points Detected on the Image
INFO | 5917 | eklem_tracker | Results Matched for New Frame
INFO | 5918 | eklem_tracker | Getting Joints Dict
INFO | 5918 | angle_calculator | Getting Angle Dict
INFO | 5918 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 5918 | eklem_tracker | Angles & Lines Are on the Image
INFO | 5931 | keypoint | Frame Saved.





INFO | 5935 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 5936 | color_detetor | Filtering Done & Mask Created
INFO | 5937 | color_detetor | 8 Points Detected on the Image
INFO | 6078 | eklem_tracker | Results Matched for New Frame
INFO | 6078 | eklem_tracker | Getting Joints Dict
INFO | 6078 | angle_calculator | Getting Angle Dict
INFO | 6078 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 6078 | eklem_tracker | Angles & Lines Are on the Image
INFO | 6091 | keypoint | Frame Saved.





INFO | 6095 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 6096 | color_detetor | Filtering Done & Mask Created
INFO | 6097 | color_detetor | 8 Points Detected on the Image
INFO | 6097 | eklem_tracker | Results Matched for New Frame
INFO | 6097 | eklem_tracker | Getting Joints Dict
INFO | 6097 | angle_calculator | Getting Angle Dict
INFO | 6097 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 6097 | eklem_tracker | Angles & Lines Are on the Image
INFO | 6108 | keypoint | Frame Saved.





INFO | 6112 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 6114 | color_detetor | Filtering Done & Mask Created
INFO | 6114 | color_detetor | 8 Points Detected on the Image
INFO | 6114 | eklem_tracker | Results Matched for New Frame
INFO | 6114 | eklem_tracker | Getting Joints Dict
INFO | 6114 | angle_calculator | Getting Angle Dict
INFO | 6114 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 6114 | eklem_tracker | Angles & Lines Are on the Image
INFO | 6123 | keypoint | Frame Saved.





INFO | 6126 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 6128 | color_detetor | Filtering Done & Mask Created
INFO | 6128 | color_detetor | 8 Points Detected on the Image
INFO | 6128 | eklem_tracker | Results Matched for New Frame
INFO | 6128 | eklem_tracker | Getting Joints Dict
INFO | 6128 | angle_calculator | Getting Angle Dict
INFO | 6128 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 6128 | eklem_tracker | Angles & Lines Are on the Image
INFO | 6152 | keypoint | Frame Saved.





INFO | 6156 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 6158 | color_detetor | Filtering Done & Mask Created
INFO | 6158 | color_detetor | 8 Points Detected on the Image
INFO | 6158 | eklem_tracker | Results Matched for New Frame
INFO | 6158 | eklem_tracker | Getting Joints Dict
INFO | 6158 | angle_calculator | Getting Angle Dict
INFO | 6159 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 6159 | eklem_tracker | Angles & Lines Are on the Image
INFO | 6196 | keypoint | Frame Saved.





INFO | 6203 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 6206 | color_detetor | Filtering Done & Mask Created
INFO | 6206 | color_detetor | 8 Points Detected on the Image
INFO | 6206 | eklem_tracker | Results Matched for New Frame
INFO | 6206 | eklem_tracker | Getting Joints Dict
INFO | 6206 | angle_calculator | Getting Angle Dict
INFO | 6206 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 6206 | eklem_tracker | Angles & Lines Are on the Image
INFO | 6219 | keypoint | Frame Saved.





INFO | 6222 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 6224 | color_detetor | Filtering Done & Mask Created
INFO | 6224 | color_detetor | 8 Points Detected on the Image
INFO | 6224 | eklem_tracker | Results Matched for New Frame
INFO | 6224 | eklem_tracker | Getting Joints Dict
INFO | 6224 | angle_calculator | Getting Angle Dict
INFO | 6225 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 6225 | eklem_tracker | Angles & Lines Are on the Image
INFO | 6233 | keypoint | Frame Saved.





INFO | 6237 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 6238 | color_detetor | Filtering Done & Mask Created
INFO | 6239 | color_detetor | 8 Points Detected on the Image
INFO | 6239 | eklem_tracker | Results Matched for New Frame
INFO | 6239 | eklem_tracker | Getting Joints Dict
INFO | 6239 | angle_calculator | Getting Angle Dict
INFO | 6239 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 6239 | eklem_tracker | Angles & Lines Are on the Image
INFO | 6248 | keypoint | Frame Saved.





INFO | 6252 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 6253 | color_detetor | Filtering Done & Mask Created
INFO | 6254 | color_detetor | 8 Points Detected on the Image
INFO | 6254 | eklem_tracker | Results Matched for New Frame
INFO | 6254 | eklem_tracker | Getting Joints Dict
INFO | 6254 | angle_calculator | Getting Angle Dict
INFO | 6254 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 6254 | eklem_tracker | Angles & Lines Are on the Image
INFO | 6264 | keypoint | Frame Saved.





INFO | 6268 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 6269 | color_detetor | Filtering Done & Mask Created
INFO | 6270 | color_detetor | 8 Points Detected on the Image
INFO | 6270 | eklem_tracker | Results Matched for New Frame
INFO | 6270 | eklem_tracker | Getting Joints Dict
INFO | 6270 | angle_calculator | Getting Angle Dict
INFO | 6270 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 6270 | eklem_tracker | Angles & Lines Are on the Image
INFO | 6278 | keypoint | Frame Saved.





INFO | 6282 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 6284 | color_detetor | Filtering Done & Mask Created
INFO | 6284 | color_detetor | 8 Points Detected on the Image
INFO | 6284 | eklem_tracker | Results Matched for New Frame
INFO | 6285 | eklem_tracker | Getting Joints Dict
INFO | 6285 | angle_calculator | Getting Angle Dict
INFO | 6285 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 6285 | eklem_tracker | Angles & Lines Are on the Image
INFO | 6293 | keypoint | Frame Saved.





INFO | 6297 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 6299 | color_detetor | Filtering Done & Mask Created
INFO | 6299 | color_detetor | 8 Points Detected on the Image
INFO | 6299 | eklem_tracker | Results Matched for New Frame
INFO | 6299 | eklem_tracker | Getting Joints Dict
INFO | 6299 | angle_calculator | Getting Angle Dict
INFO | 6299 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 6299 | eklem_tracker | Angles & Lines Are on the Image
INFO | 6334 | keypoint | Frame Saved.





INFO | 6340 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 6342 | color_detetor | Filtering Done & Mask Created
INFO | 6342 | color_detetor | 8 Points Detected on the Image
INFO | 6342 | eklem_tracker | Results Matched for New Frame
INFO | 6342 | eklem_tracker | Getting Joints Dict
INFO | 6343 | angle_calculator | Getting Angle Dict
INFO | 6343 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 6343 | eklem_tracker | Angles & Lines Are on the Image
INFO | 6353 | keypoint | Frame Saved.





INFO | 6357 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 6358 | color_detetor | Filtering Done & Mask Created
INFO | 6359 | color_detetor | 8 Points Detected on the Image
INFO | 6359 | eklem_tracker | Results Matched for New Frame
INFO | 6359 | eklem_tracker | Getting Joints Dict
INFO | 6359 | angle_calculator | Getting Angle Dict
INFO | 6359 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 6359 | eklem_tracker | Angles & Lines Are on the Image
INFO | 6391 | keypoint | Frame Saved.





INFO | 6397 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 6399 | color_detetor | Filtering Done & Mask Created
INFO | 6400 | color_detetor | 8 Points Detected on the Image
INFO | 6400 | eklem_tracker | Results Matched for New Frame
INFO | 6400 | eklem_tracker | Getting Joints Dict
INFO | 6400 | angle_calculator | Getting Angle Dict
INFO | 6400 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 6401 | eklem_tracker | Angles & Lines Are on the Image
INFO | 6411 | keypoint | Frame Saved.





INFO | 6415 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 6417 | color_detetor | Filtering Done & Mask Created
INFO | 6418 | color_detetor | 8 Points Detected on the Image
INFO | 6418 | eklem_tracker | Results Matched for New Frame
INFO | 6418 | eklem_tracker | Getting Joints Dict
INFO | 6418 | angle_calculator | Getting Angle Dict
INFO | 6418 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 6418 | eklem_tracker | Angles & Lines Are on the Image
INFO | 6429 | keypoint | Frame Saved.





INFO | 6433 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 6435 | color_detetor | Filtering Done & Mask Created
INFO | 6435 | color_detetor | 8 Points Detected on the Image
INFO | 6435 | eklem_tracker | Results Matched for New Frame
INFO | 6435 | eklem_tracker | Getting Joints Dict
INFO | 6435 | angle_calculator | Getting Angle Dict
INFO | 6435 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 6435 | eklem_tracker | Angles & Lines Are on the Image
INFO | 6445 | keypoint | Frame Saved.





INFO | 6449 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 6451 | color_detetor | Filtering Done & Mask Created
INFO | 6451 | color_detetor | 8 Points Detected on the Image
INFO | 6451 | eklem_tracker | Results Matched for New Frame
INFO | 6451 | eklem_tracker | Getting Joints Dict
INFO | 6451 | angle_calculator | Getting Angle Dict
INFO | 6451 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 6451 | eklem_tracker | Angles & Lines Are on the Image
INFO | 6461 | keypoint | Frame Saved.





INFO | 6465 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 6467 | color_detetor | Filtering Done & Mask Created
INFO | 6467 | color_detetor | 8 Points Detected on the Image
INFO | 6467 | eklem_tracker | Results Matched for New Frame
INFO | 6467 | eklem_tracker | Getting Joints Dict
INFO | 6467 | angle_calculator | Getting Angle Dict
INFO | 6468 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 6468 | eklem_tracker | Angles & Lines Are on the Image
INFO | 6503 | keypoint | Frame Saved.





INFO | 6509 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 6512 | color_detetor | Filtering Done & Mask Created
INFO | 6512 | color_detetor | 8 Points Detected on the Image
INFO | 6512 | eklem_tracker | Results Matched for New Frame
INFO | 6513 | eklem_tracker | Getting Joints Dict
INFO | 6513 | angle_calculator | Getting Angle Dict
INFO | 6513 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 6513 | eklem_tracker | Angles & Lines Are on the Image
INFO | 6524 | keypoint | Frame Saved.





INFO | 6528 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 6530 | color_detetor | Filtering Done & Mask Created
INFO | 6530 | color_detetor | 8 Points Detected on the Image
INFO | 6530 | eklem_tracker | Results Matched for New Frame
INFO | 6530 | eklem_tracker | Getting Joints Dict
INFO | 6530 | angle_calculator | Getting Angle Dict
INFO | 6530 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 6530 | eklem_tracker | Angles & Lines Are on the Image
INFO | 6539 | keypoint | Frame Saved.





INFO | 6543 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 6544 | color_detetor | Filtering Done & Mask Created
INFO | 6545 | color_detetor | 8 Points Detected on the Image
INFO | 6545 | eklem_tracker | Results Matched for New Frame
