INFO | 332 | keypoint | Camera Started: mavi-el-resized.mp4
INFO | 351 | keypoint | Resolution H: 720, W: 1280. Writer Object Created with the Name: mavi-el-resized-output.mp4.
INFO | 352 | keypoint | Filtering Values Set. Hue Min: 93, Saturation Min: 44, Value Min: 38, Hue Max: 170, Saturation Max: 232, Value Max: 255
INFO | 1667 | eklem_tracker | isaret_uc Has Been Created. Coordinates: x: 451, y: 276
INFO | 2131 | eklem_tracker | isaret_DIP Has Been Created. Coordinates: x: 522, y: 273
INFO | 2611 | eklem_tracker | isaret_PIP Has Been Created. Coordinates: x: 591, y: 248
INFO | 3074 | eklem_tracker | isaret_MP Has Been Created. Coordinates: x: 725, y: 307
INFO | 3539 | eklem_tracker | CMC Has Been Created. Coordinates: x: 819, y: 426
INFO | 3987 | eklem_tracker | bas_PIP Has Been Created. Coordinates: x: 679, y: 447
INFO | 4451 | eklem_tracker | bas_DIP Has Been Created. Coordinates: x: 572, y: 440
INFO | 4915 | eklem_tracker | bas_uc Has Been Created. Coordinates: x: 470, y: 448
INFO | 4915 | keypoint | Starting Loop For video. 



INFO | 4918 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 4920 | color_detetor | Filtering Done & Mask Created
INFO | 4920 | color_detetor | 9 Points Detected on the Image
INFO | 5287 | eklem_tracker | Results Matched for New Frame
INFO | 5287 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 5287 | eklem_tracker | Getting Joints Dict
INFO | 5287 | angle_calculator | Getting Angle Dict
INFO | 5287 | keypoint | Angles & Lines Are on the Image
INFO | 5297 | keypoint | Frame Saved.





INFO | 5299 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 5301 | color_detetor | Filtering Done & Mask Created
INFO | 5302 | color_detetor | 9 Points Detected on the Image
INFO | 5444 | eklem_tracker | Results Matched for New Frame
INFO | 5445 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 5445 | eklem_tracker | Getting Joints Dict
INFO | 5445 | angle_calculator | Getting Angle Dict
INFO | 5445 | keypoint | Angles & Lines Are on the Image
INFO | 5454 | keypoint | Frame Saved.





INFO | 5456 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 5458 | color_detetor | Filtering Done & Mask Created
INFO | 5459 | color_detetor | 9 Points Detected on the Image
INFO | 5459 | eklem_tracker | Results Matched for New Frame
INFO | 5460 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 5460 | eklem_tracker | Getting Joints Dict
INFO | 5460 | angle_calculator | Getting Angle Dict
INFO | 5460 | keypoint | Angles & Lines Are on the Image
INFO | 5468 | keypoint | Frame Saved.





INFO | 5470 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 5472 | color_detetor | Filtering Done & Mask Created
INFO | 5473 | color_detetor | 9 Points Detected on the Image
INFO | 5473 | eklem_tracker | Results Matched for New Frame
INFO | 5473 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 5473 | eklem_tracker | Getting Joints Dict
INFO | 5473 | angle_calculator | Getting Angle Dict
INFO | 5473 | keypoint | Angles & Lines Are on the Image
INFO | 5483 | keypoint | Frame Saved.





INFO | 5486 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 5489 | color_detetor | Filtering Done & Mask Created
INFO | 5490 | color_detetor | 9 Points Detected on the Image
INFO | 5490 | eklem_tracker | Results Matched for New Frame
INFO | 5490 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 5490 | eklem_tracker | Getting Joints Dict
INFO | 5490 | angle_calculator | Getting Angle Dict
INFO | 5490 | keypoint | Angles & Lines Are on the Image
INFO | 5499 | keypoint | Frame Saved.





INFO | 5501 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 5504 | color_detetor | Filtering Done & Mask Created
INFO | 5505 | color_detetor | 9 Points Detected on the Image
INFO | 5505 | eklem_tracker | Results Matched for New Frame
INFO | 5505 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 5505 | eklem_tracker | Getting Joints Dict
INFO | 5505 | angle_calculator | Getting Angle Dict
INFO | 5505 | keypoint | Angles & Lines Are on the Image
INFO | 5515 | keypoint | Frame Saved.





INFO | 5517 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 5519 | color_detetor | Filtering Done & Mask Created
INFO | 5520 | color_detetor | 9 Points Detected on the Image
INFO | 5520 | eklem_tracker | Results Matched for New Frame
INFO | 5520 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 5520 | eklem_tracker | Getting Joints Dict
INFO | 5520 | angle_calculator | Getting Angle Dict
INFO | 5520 | keypoint | Angles & Lines Are on the Image
INFO | 5541 | keypoint | Frame Saved.





INFO | 5545 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 5546 | color_detetor | Filtering Done & Mask Created
INFO | 5547 | color_detetor | 9 Points Detected on the Image
INFO | 5547 | eklem_tracker | Results Matched for New Frame
INFO | 5548 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 5548 | eklem_tracker | Getting Joints Dict
INFO | 5548 | angle_calculator | Getting Angle Dict
INFO | 5548 | keypoint | Angles & Lines Are on the Image
INFO | 5556 | keypoint | Frame Saved.





INFO | 5558 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 5561 | color_detetor | Filtering Done & Mask Created
INFO | 5562 | color_detetor | 10 Points Detected on the Image
INFO | 5562 | eklem_tracker | Results Matched for New Frame
INFO | 5562 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 5562 | eklem_tracker | Getting Joints Dict
INFO | 5562 | angle_calculator | Getting Angle Dict
INFO | 5562 | keypoint | Angles & Lines Are on the Image
INFO | 5570 | keypoint | Frame Saved.





INFO | 5572 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 5574 | color_detetor | Filtering Done & Mask Created
INFO | 5575 | color_detetor | 10 Points Detected on the Image
INFO | 5575 | eklem_tracker | Results Matched for New Frame
INFO | 5575 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 5575 | eklem_tracker | Getting Joints Dict
INFO | 5576 | angle_calculator | Getting Angle Dict
INFO | 5576 | keypoint | Angles & Lines Are on the Image
INFO | 5585 | keypoint | Frame Saved.





INFO | 5587 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 5589 | color_detetor | Filtering Done & Mask Created
INFO | 5590 | color_detetor | 9 Points Detected on the Image
INFO | 5590 | eklem_tracker | Results Matched for New Frame
INFO | 5590 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 5590 | eklem_tracker | Getting Joints Dict
INFO | 5590 | angle_calculator | Getting Angle Dict
INFO | 5590 | keypoint | Angles & Lines Are on the Image
INFO | 5598 | keypoint | Frame Saved.





INFO | 5601 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 5603 | color_detetor | Filtering Done & Mask Created
INFO | 5603 | color_detetor | 9 Points Detected on the Image
INFO | 5604 | eklem_tracker | Results Matched for New Frame
INFO | 5604 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 5604 | eklem_tracker | Getting Joints Dict
INFO | 5604 | angle_calculator | Getting Angle Dict
INFO | 5604 | keypoint | Angles & Lines Are on the Image
INFO | 5611 | keypoint | Frame Saved.





INFO | 5614 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 5615 | color_detetor | Filtering Done & Mask Created
INFO | 5616 | color_detetor | 9 Points Detected on the Image
INFO | 5616 | eklem_tracker | Results Matched for New Frame
INFO | 5616 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 5616 | eklem_tracker | Getting Joints Dict
INFO | 5616 | angle_calculator | Getting Angle Dict
INFO | 5617 | keypoint | Angles & Lines Are on the Image
INFO | 5636 | keypoint | Frame Saved.





INFO | 5638 | keypoint | Frame read and resized to (720, 1280, 3).
