INFO | 329 | keypoint | Camera Started: mavi-el-resized.mp4
INFO | 348 | keypoint | Resolution H: 720, W: 1280. Writer Object Created with the Name: mavi-el-resized-output.mp4.
INFO | 348 | keypoint | Filtering Values Set. Hue Min: 93, Saturation Min: 44, Value Min: 38, Hue Max: 170, Saturation Max: 232, Value Max: 255
INFO | 1378 | eklem_tracker | isaret_uc Has Been Created. Coordinates: x: 464, y: 281
INFO | 1953 | eklem_tracker | isaret_DIP Has Been Created. Coordinates: x: 545, y: 261
INFO | 2361 | eklem_tracker | isaret_PIP Has Been Created. Coordinates: x: 601, y: 241
INFO | 3018 | eklem_tracker | isaret_MP Has Been Created. Coordinates: x: 708, y: 303
INFO | 3642 | eklem_tracker | CMC Has Been Created. Coordinates: x: 816, y: 431
INFO | 4162 | eklem_tracker | bas_PIP Has Been Created. Coordinates: x: 695, y: 447
INFO | 4810 | eklem_tracker | bas_DIP Has Been Created. Coordinates: x: 563, y: 442
INFO | 5274 | eklem_tracker | bas_uc Has Been Created. Coordinates: x: 484, y: 442
INFO | 5274 | keypoint | Starting Loop For video. 



INFO | 5276 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 5278 | color_detetor | Filtering Done & Mask Created
INFO | 5279 | color_detetor | 9 Points Detected on the Image
INFO | 5634 | eklem_tracker | Results Matched for New Frame
INFO | 5634 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 5634 | eklem_tracker | Getting Joints Dict
INFO | 5634 | angle_calculator | Getting Angle Dict
INFO | 5634 | keypoint | Angles & Lines Are on the Image
INFO | 5642 | keypoint | Frame Saved.





INFO | 5645 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 5647 | color_detetor | Filtering Done & Mask Created
INFO | 5648 | color_detetor | 9 Points Detected on the Image
INFO | 5789 | eklem_tracker | Results Matched for New Frame
INFO | 5790 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 5790 | eklem_tracker | Getting Joints Dict
INFO | 5790 | angle_calculator | Getting Angle Dict
INFO | 5790 | keypoint | Angles & Lines Are on the Image
INFO | 5797 | keypoint | Frame Saved.





INFO | 5800 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 5801 | color_detetor | Filtering Done & Mask Created
INFO | 5802 | color_detetor | 9 Points Detected on the Image
INFO | 5802 | eklem_tracker | Results Matched for New Frame
INFO | 5803 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 5803 | eklem_tracker | Getting Joints Dict
INFO | 5803 | angle_calculator | Getting Angle Dict
INFO | 5803 | keypoint | Angles & Lines Are on the Image
INFO | 5824 | keypoint | Frame Saved.




