INFO | 329 | keypoint | Camera Started: mavi-el-resized.mp4
INFO | 346 | keypoint | Resolution H: 720, W: 1280. Writer Object Created with the Name: mavi-el-resized-output.mp4.
INFO | 347 | keypoint | Filtering Values Set. Hue Min: 93, Saturation Min: 44, Value Min: 38, Hue Max: 170, Saturation Max: 232, Value Max: 255
INFO | 1125 | eklem_tracker | isaret_uc Has Been Created. Coordinates: x: 470, y: 278
INFO | 1525 | eklem_tracker | isaret_DIP Has Been Created. Coordinates: x: 539, y: 275
INFO | 1909 | eklem_tracker | isaret_PIP Has Been Created. Coordinates: x: 592, y: 240
INFO | 2317 | eklem_tracker | isaret_MP Has Been Created. Coordinates: x: 722, y: 318
INFO | 2701 | eklem_tracker | CMC Has Been Created. Coordinates: x: 808, y: 434
INFO | 3022 | eklem_tracker | bas_PIP Has Been Created. Coordinates: x: 689, y: 449
INFO | 3421 | eklem_tracker | bas_DIP Has Been Created. Coordinates: x: 565, y: 443
INFO | 3805 | eklem_tracker | bas_uc Has Been Created. Coordinates: x: 484, y: 443
INFO | 3806 | keypoint | Starting Loop For video. 



INFO | 3808 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 3810 | color_detetor | Filtering Done & Mask Created
INFO | 3811 | color_detetor | 9 Points Detected on the Image
INFO | 4167 | eklem_tracker | Results Matched for New Frame
INFO | 4167 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 4167 | eklem_tracker | Getting Joints Dict
INFO | 4167 | angle_calculator | Getting Angle Dict
INFO | 4167 | keypoint | Angles & Lines Are on the Image
INFO | 4315 | keypoint | Frame Saved.





INFO | 4318 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 4320 | color_detetor | Filtering Done & Mask Created
INFO | 4321 | color_detetor | 9 Points Detected on the Image
INFO | 4461 | eklem_tracker | Results Matched for New Frame
INFO | 4461 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 4461 | eklem_tracker | Getting Joints Dict
INFO | 4462 | angle_calculator | Getting Angle Dict
INFO | 4462 | keypoint | Angles & Lines Are on the Image
INFO | 4818 | keypoint | Frame Saved.





INFO | 4820 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 4822 | color_detetor | Filtering Done & Mask Created
INFO | 4823 | color_detetor | 9 Points Detected on the Image
INFO | 4823 | eklem_tracker | Results Matched for New Frame
INFO | 4823 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 4823 | eklem_tracker | Getting Joints Dict
INFO | 4823 | angle_calculator | Getting Angle Dict
INFO | 4823 | keypoint | Angles & Lines Are on the Image
INFO | 4849 | keypoint | Frame Saved.





INFO | 4852 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 4853 | color_detetor | Filtering Done & Mask Created
INFO | 4854 | color_detetor | 9 Points Detected on the Image
INFO | 4854 | eklem_tracker | Results Matched for New Frame
INFO | 4854 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 4854 | eklem_tracker | Getting Joints Dict
INFO | 4855 | angle_calculator | Getting Angle Dict
INFO | 4855 | keypoint | Angles & Lines Are on the Image
INFO | 4894 | keypoint | Frame Saved.





INFO | 4896 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 4898 | color_detetor | Filtering Done & Mask Created
INFO | 4899 | color_detetor | 9 Points Detected on the Image
INFO | 4899 | eklem_tracker | Results Matched for New Frame
INFO | 4899 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 4900 | eklem_tracker | Getting Joints Dict
INFO | 4900 | angle_calculator | Getting Angle Dict
INFO | 4900 | keypoint | Angles & Lines Are on the Image
INFO | 4926 | keypoint | Frame Saved.





INFO | 4929 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 4930 | color_detetor | Filtering Done & Mask Created
INFO | 4931 | color_detetor | 9 Points Detected on the Image
INFO | 4931 | eklem_tracker | Results Matched for New Frame
INFO | 4931 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 4931 | eklem_tracker | Getting Joints Dict
INFO | 4932 | angle_calculator | Getting Angle Dict
INFO | 4932 | keypoint | Angles & Lines Are on the Image
INFO | 4958 | keypoint | Frame Saved.





INFO | 4960 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 4962 | color_detetor | Filtering Done & Mask Created
INFO | 4963 | color_detetor | 9 Points Detected on the Image
INFO | 4963 | eklem_tracker | Results Matched for New Frame
INFO | 4963 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 4963 | eklem_tracker | Getting Joints Dict
INFO | 4963 | angle_calculator | Getting Angle Dict
INFO | 4963 | keypoint | Angles & Lines Are on the Image
INFO | 4990 | keypoint | Frame Saved.





INFO | 4992 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 4994 | color_detetor | Filtering Done & Mask Created
INFO | 4995 | color_detetor | 9 Points Detected on the Image
INFO | 4995 | eklem_tracker | Results Matched for New Frame
INFO | 4995 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 4995 | eklem_tracker | Getting Joints Dict
INFO | 4995 | angle_calculator | Getting Angle Dict
INFO | 4995 | keypoint | Angles & Lines Are on the Image
INFO | 5022 | keypoint | Frame Saved.





INFO | 5024 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 5026 | color_detetor | Filtering Done & Mask Created
INFO | 5027 | color_detetor | 10 Points Detected on the Image
INFO | 5027 | eklem_tracker | Results Matched for New Frame
INFO | 5027 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 5027 | eklem_tracker | Getting Joints Dict
INFO | 5027 | angle_calculator | Getting Angle Dict
INFO | 5027 | keypoint | Angles & Lines Are on the Image
INFO | 5054 | keypoint | Frame Saved.





INFO | 5057 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 5058 | color_detetor | Filtering Done & Mask Created
INFO | 5059 | color_detetor | 10 Points Detected on the Image
INFO | 5059 | eklem_tracker | Results Matched for New Frame
INFO | 5059 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 5059 | eklem_tracker | Getting Joints Dict
INFO | 5060 | angle_calculator | Getting Angle Dict
INFO | 5060 | keypoint | Angles & Lines Are on the Image
INFO | 5084 | keypoint | Frame Saved.





INFO | 5087 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 5089 | color_detetor | Filtering Done & Mask Created
INFO | 5089 | color_detetor | 9 Points Detected on the Image
INFO | 5090 | eklem_tracker | Results Matched for New Frame
INFO | 5090 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 5090 | eklem_tracker | Getting Joints Dict
INFO | 5090 | angle_calculator | Getting Angle Dict
INFO | 5090 | keypoint | Angles & Lines Are on the Image
INFO | 5115 | keypoint | Frame Saved.





INFO | 5117 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 5119 | color_detetor | Filtering Done & Mask Created
INFO | 5120 | color_detetor | 9 Points Detected on the Image
INFO | 5120 | eklem_tracker | Results Matched for New Frame
INFO | 5120 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 5120 | eklem_tracker | Getting Joints Dict
INFO | 5120 | angle_calculator | Getting Angle Dict
INFO | 5120 | keypoint | Angles & Lines Are on the Image
INFO | 5146 | keypoint | Frame Saved.





INFO | 5148 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 5150 | color_detetor | Filtering Done & Mask Created
INFO | 5151 | color_detetor | 9 Points Detected on the Image
INFO | 5151 | eklem_tracker | Results Matched for New Frame
INFO | 5151 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 5151 | eklem_tracker | Getting Joints Dict
