INFO | 342 | keypoint | Camera Started: yesil-el.mp4
INFO | 360 | keypoint | Resolution H: 1080, W: 1920. Writer Object Created with the Name: yesil-el-resized-output.mp4.
INFO | 360 | keypoint | Filtering Values Set. Hue Min: 27, Saturation Min: 51, Value Min: 32, Hue Max: 88, Saturation Max: 255, Value Max: 222
INFO | 1790 | eklem_tracker | isaret_uc Has Been Created. Coordinates: x: 382, y: 273
INFO | 2254 | eklem_tracker | isaret_DIP Has Been Created. Coordinates: x: 431, y: 236
INFO | 2717 | eklem_tracker | isaret_PIP Has Been Created. Coordinates: x: 465, y: 187
INFO | 3238 | eklem_tracker | isaret_MP Has Been Created. Coordinates: x: 577, y: 222
INFO | 3846 | eklem_tracker | CMC Has Been Created. Coordinates: x: 701, y: 331
INFO | 4326 | eklem_tracker | bas_PIP Has Been Created. Coordinates: x: 594, y: 382
INFO | 4814 | eklem_tracker | bas_DIP Has Been Created. Coordinates: x: 485, y: 397
INFO | 5574 | eklem_tracker | bas_uc Has Been Created. Coordinates: x: 412, y: 394
INFO | 5575 | keypoint | Starting Loop For video. 



INFO | 5578 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 5580 | color_detetor | Filtering Done & Mask Created
INFO | 5581 | color_detetor | 8 Points Detected on the Image
INFO | 5944 | eklem_tracker | Results Matched for New Frame
INFO | 5945 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 5945 | eklem_tracker | Getting Joints Dict
INFO | 5945 | angle_calculator | Getting Angle Dict
INFO | 5945 | keypoint | Angles & Lines Are on the Image
INFO | 5958 | keypoint | Frame Saved.





INFO | 5962 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 5964 | color_detetor | Filtering Done & Mask Created
INFO | 5965 | color_detetor | 8 Points Detected on the Image
INFO | 6105 | eklem_tracker | Results Matched for New Frame
INFO | 6105 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 6105 | eklem_tracker | Getting Joints Dict
INFO | 6105 | angle_calculator | Getting Angle Dict
INFO | 6105 | keypoint | Angles & Lines Are on the Image
INFO | 6116 | keypoint | Frame Saved.





INFO | 6120 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 6122 | color_detetor | Filtering Done & Mask Created
INFO | 6123 | color_detetor | 8 Points Detected on the Image
INFO | 6123 | eklem_tracker | Results Matched for New Frame
INFO | 6124 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 6124 | eklem_tracker | Getting Joints Dict
INFO | 6124 | angle_calculator | Getting Angle Dict
INFO | 6124 | keypoint | Angles & Lines Are on the Image
INFO | 6133 | keypoint | Frame Saved.





INFO | 6137 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 6139 | color_detetor | Filtering Done & Mask Created
INFO | 6139 | color_detetor | 8 Points Detected on the Image
INFO | 6139 | eklem_tracker | Results Matched for New Frame
INFO | 6140 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 6140 | eklem_tracker | Getting Joints Dict
INFO | 6140 | angle_calculator | Getting Angle Dict
INFO | 6140 | keypoint | Angles & Lines Are on the Image
INFO | 6163 | keypoint | Frame Saved.





INFO | 6168 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 6169 | color_detetor | Filtering Done & Mask Created
INFO | 6170 | color_detetor | 8 Points Detected on the Image
INFO | 6170 | eklem_tracker | Results Matched for New Frame
INFO | 6170 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 6170 | eklem_tracker | Getting Joints Dict
INFO | 6170 | angle_calculator | Getting Angle Dict
INFO | 6170 | keypoint | Angles & Lines Are on the Image
INFO | 6195 | keypoint | Frame Saved.





INFO | 6199 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 6200 | color_detetor | Filtering Done & Mask Created
INFO | 6201 | color_detetor | 8 Points Detected on the Image
INFO | 6201 | eklem_tracker | Results Matched for New Frame
INFO | 6201 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 6201 | eklem_tracker | Getting Joints Dict
INFO | 6202 | angle_calculator | Getting Angle Dict
INFO | 6202 | keypoint | Angles & Lines Are on the Image
INFO | 6210 | keypoint | Frame Saved.





INFO | 6214 | keypoint | Frame read and resized to (720, 1280, 3).
