INFO | 333 | keypoint | Camera Started: mavi-el-resized.mp4
INFO | 350 | keypoint | Resolution H: 720, W: 1280. Writer Object Created with the Name: mavi-el-resized-output.mp4.
INFO | 350 | keypoint | Filtering Values Set. Hue Min: 93, Saturation Min: 44, Value Min: 38, Hue Max: 170, Saturation Max: 232, Value Max: 255
INFO | 1184 | eklem_tracker | isaret_uc Has Been Created. Coordinates: x: 460, y: 278
INFO | 1560 | eklem_tracker | isaret_DIP Has Been Created. Coordinates: x: 538, y: 270
INFO | 1904 | eklem_tracker | isaret_PIP Has Been Created. Coordinates: x: 595, y: 244
INFO | 2344 | eklem_tracker | isaret_MP Has Been Created. Coordinates: x: 687, y: 295
INFO | 2945 | eklem_tracker | CMC Has Been Created. Coordinates: x: 799, y: 428
INFO | 3408 | eklem_tracker | bas_PIP Has Been Created. Coordinates: x: 711, y: 452
INFO | 3792 | eklem_tracker | bas_DIP Has Been Created. Coordinates: x: 569, y: 443
INFO | 4241 | eklem_tracker | bas_uc Has Been Created. Coordinates: x: 484, y: 441
INFO | 4242 | keypoint | Starting Loop For video. 



INFO | 4244 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 4246 | color_detetor | Filtering Done & Mask Created
INFO | 4247 | color_detetor | 9 Points Detected on the Image
INFO | 4607 | eklem_tracker | Results Matched for New Frame
INFO | 4607 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 4607 | eklem_tracker | Getting Joints Dict
INFO | 4607 | angle_calculator | Getting Angle Dict
INFO | 4607 | keypoint | Angles & Lines Are on the Image
INFO | 4622 | keypoint | Frame Saved.





INFO | 4624 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 4626 | color_detetor | Filtering Done & Mask Created
INFO | 4627 | color_detetor | 9 Points Detected on the Image
INFO | 4769 | eklem_tracker | Results Matched for New Frame
INFO | 4769 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 4769 | eklem_tracker | Getting Joints Dict
INFO | 4769 | angle_calculator | Getting Angle Dict
INFO | 4769 | keypoint | Angles & Lines Are on the Image
INFO | 4776 | keypoint | Frame Saved.





INFO | 4778 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 4780 | color_detetor | Filtering Done & Mask Created
INFO | 4781 | color_detetor | 9 Points Detected on the Image
INFO | 4781 | eklem_tracker | Results Matched for New Frame
INFO | 4781 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 4781 | eklem_tracker | Getting Joints Dict
