INFO | 333 | keypoint | Camera Started: mavi-el-resized.mp4
INFO | 350 | keypoint | Resolution H: 720, W: 1280. Writer Object Created with the Name: mavi-el-resized-output.mp4.
INFO | 350 | keypoint | Filtering Values Set. Hue Min: 93, Saturation Min: 44, Value Min: 38, Hue Max: 170, Saturation Max: 232, Value Max: 255
INFO | 1176 | eklem_tracker | isaret_uc Has Been Created. Coordinates: x: 468, y: 276
INFO | 1474 | eklem_tracker | isaret_DIP Has Been Created. Coordinates: x: 551, y: 263
INFO | 1761 | eklem_tracker | isaret_PIP Has Been Created. Coordinates: x: 594, y: 248
INFO | 2097 | eklem_tracker | isaret_MP Has Been Created. Coordinates: x: 689, y: 305
INFO | 2585 | eklem_tracker | CMC Has Been Created. Coordinates: x: 799, y: 433
INFO | 2945 | eklem_tracker | bas_PIP Has Been Created. Coordinates: x: 701, y: 449
INFO | 3368 | eklem_tracker | bas_DIP Has Been Created. Coordinates: x: 586, y: 451
INFO | 3689 | eklem_tracker | bas_uc Has Been Created. Coordinates: x: 490, y: 444
INFO | 3689 | keypoint | Starting Loop For video. 



INFO | 3692 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 3694 | color_detetor | Filtering Done & Mask Created
INFO | 3694 | color_detetor | 9 Points Detected on the Image
INFO | 4048 | eklem_tracker | Results Matched for New Frame
INFO | 4048 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 4048 | eklem_tracker | Getting Joints Dict
INFO | 4048 | angle_calculator | Getting Angle Dict
INFO | 4048 | keypoint | Angles & Lines Are on the Image
INFO | 4057 | keypoint | Frame Saved.





INFO | 4059 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 4061 | color_detetor | Filtering Done & Mask Created
INFO | 4062 | color_detetor | 9 Points Detected on the Image
INFO | 4200 | eklem_tracker | Results Matched for New Frame
INFO | 4201 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 4201 | eklem_tracker | Getting Joints Dict
INFO | 4201 | angle_calculator | Getting Angle Dict
INFO | 4201 | keypoint | Angles & Lines Are on the Image
INFO | 4225 | keypoint | Frame Saved.





INFO | 4228 | keypoint | Frame read and resized to (720, 1280, 3).
INFO | 4230 | color_detetor | Filtering Done & Mask Created
INFO | 4231 | color_detetor | 9 Points Detected on the Image
INFO | 4231 | eklem_tracker | Results Matched for New Frame
INFO | 4231 | eklem_tracker | Joint Points & Names Now Are on the Frame
INFO | 4231 | eklem_tracker | Getting Joints Dict
